date_obs,resultat_obs,code_statut,code_qualification_obs
2026-08-31T23:27:30Z,-1228.0,12,20
2026-08-31T22:42:30Z,-1229.0,12,20
2026-08-31T21:47:30Z,-1228.0,12,20
2026-08-31T20:32:30Z,-1229.0,12,20
2026-08-31T20:07:30Z,-1228.0,12,20
2026-08-31T19:17:30Z,-1229.0,12,20
2026-08-31T18:22:30Z,-1227.0,12,20
2026-08-31T17:22:30Z,-1229.0,12,20
2026-08-31T16:22:30Z,-1227.0,12,20
2026-08-31T15:02:30Z,-1227.0,12,20
2026-08-31T14:12:30Z,-1226.0,12,20
2026-08-31T12:27:30Z,-1227.0,12,20
2026-08-31T11:37:30Z,-1226.0,12,20
2026-08-31T10:52:30Z,-1227.0,12,20
2026-08-31T09:57:30Z,-1224.0,12,20
2026-08-31T09:32:30Z,-1225.0,12,20
2026-08-31T09:07:30Z,-1225.0,12,20
2026-08-31T07:52:30Z,-1222.0,12,20
2026-08-31T06:57:30Z,-1226.0,12,20
2026-08-31T06:32:30Z,-1227.0,12,20
2026-08-31T06:02:30Z,-1228.0,12,20
2026-08-31T05:12:30Z,-1227.0,12,20
2026-08-31T04:52:30Z,-1228.0,12,20
2026-08-31T03:57:30Z,-1228.0,12,20
2026-08-31T02:57:30Z,-1229.0,12,20
2026-08-31T02:07:30Z,-1229.0,12,20
2026-08-30T23:37:30Z,-1229.0,12,20
2026-08-30T22:47:30Z,-1229.0,12,20
2026-08-30T22:07:30Z,-1230.0,12,20
2026-08-30T20:52:30Z,-1229.0,12,20
2026-08-30T18:57:30Z,-1230.0,12,20
2026-08-30T18:12:30Z,-1230.0,12,20
2026-08-30T17:07:30Z,-1230.0,12,20
2026-08-30T16:07:30Z,-1229.0,12,20
2026-08-30T15:42:30Z,-1230.0,12,20
2026-08-30T14:57:30Z,-1228.0,12,20
2026-08-30T14:02:30Z,-1229.0,12,20
2026-08-30T13:02:30Z,-1227.0,12,20
2026-08-30T10:52:30Z,-1228.0,12,20
2026-08-30T10:17:30Z,-1226.0,12,20
2026-08-30T08:37:30Z,-1227.0,12,20
2026-08-30T07:52:30Z,-1229.0,12,20
2026-08-30T07:02:30Z,-1228.0,12,20
2026-08-30T06:17:30Z,-1229.0,12,20
2026-08-30T05:32:30Z,-1232.0,12,20
2026-08-30T04:22:30Z,-1233.0,12,20
2026-08-30T03:47:30Z,-1232.0,12,20
2026-08-30T02:57:30Z,-1232.0,12,20
2026-08-30T02:32:30Z,-1231.0,12,20
2026-08-30T01:27:30Z,-1229.0,12,20
2026-08-30T00:07:30Z,-1230.0,12,20
2026-08-29T23:17:30Z,-1229.0,12,20
2026-08-29T18:17:30Z,-1229.0,12,20
2026-08-29T17:22:30Z,-1229.0,12,20
2026-08-29T17:02:30Z,-1228.0,12,20
2026-08-29T14:42:30Z,-1229.0,12,20
2026-08-29T12:57:30Z,-1228.0,12,20
2026-08-29T12:02:30Z,-1229.0,12,20
2026-08-29T11:17:30Z,-1229.0,12,20
2026-08-29T10:52:30Z,-1230.0,12,20
2026-08-29T10:37:30Z,-1231.0,12,20
2026-08-29T10:22:30Z,-1231.0,12,20
2026-08-29T09:47:30Z,-1229.0,12,20
2026-08-29T09:27:30Z,-1230.0,12,20
2026-08-29T09:02:30Z,-1230.0,12,20
2026-08-29T08:37:30Z,-1228.0,12,20
2026-08-29T07:57:30Z,-1228.0,12,20
2026-08-29T07:07:30Z,-1227.0,12,20
2026-08-29T05:22:30Z,-1226.0,12,20
2026-08-29T03:32:30Z,-1227.0,12,20
2026-08-29T02:12:30Z,-1226.0,12,20
2026-08-29T00:52:30Z,-1228.0,12,20
2026-08-28T23:57:30Z,-1227.0,12,20
2026-08-28T23:07:30Z,-1228.0,12,20
2026-08-28T21:22:30Z,-1227.0,12,20
2026-08-28T20:27:30Z,-1228.0,12,20
2026-08-28T17:42:30Z,-1227.0,12,20
2026-08-28T16:37:30Z,-1228.0,12,20
2026-08-28T15:47:30Z,-1230.0,12,20
2026-08-28T15:27:30Z,-1230.0,12,20
2026-08-28T14:32:30Z,-1228.0,12,20
2026-08-28T13:57:30Z,-1228.0,12,20
2026-08-28T13:32:30Z,-1230.0,12,20
2026-08-28T12:22:30Z,-1231.0,12,20
2026-08-28T11:57:30Z,-1229.0,12,20
2026-08-28T11:42:30Z,-1230.0,12,20
2026-08-28T11:27:30Z,-1229.0,12,20
2026-08-28T11:02:30Z,-1229.0,12,20
2026-08-28T10:37:30Z,-1229.0,12,20
2026-08-28T09:42:30Z,-1229.0,12,20
2026-08-28T09:22:30Z,-1229.0,12,20
2026-08-28T09:07:30Z,-1229.0,12,20
2026-08-28T08:37:30Z,-1231.0,12,20
2026-08-28T07:42:30Z,-1228.0,12,20
2026-08-28T07:27:30Z,-1229.0,12,20
2026-08-28T06:52:30Z,-1230.0,12,20
2026-08-28T06:27:30Z,-1229.0,12,20
2026-08-28T06:07:30Z,-1228.0,12,20
2026-08-28T05:07:30Z,-1227.0,12,20
2026-08-28T04:12:30Z,-1228.0,12,20
2026-08-28T03:47:30Z,-1227.0,12,20
2026-08-28T02:52:30Z,-1228.0,12,20
2026-08-28T02:02:30Z,-1227.0,12,20
2026-08-28T00:37:30Z,-1228.0,12,20
2026-08-27T23:47:30Z,-1227.0,12,20
2026-08-27T22:27:30Z,-1228.0,12,20
2026-08-27T21:32:30Z,-1227.0,12,20
2026-08-27T20:42:30Z,-1228.0,12,20
2026-08-27T19:52:30Z,-1228.0,12,20
2026-08-27T17:47:30Z,-1230.0,12,20
2026-08-27T17:02:30Z,-1228.0,12,20
2026-08-27T16:42:30Z,-1229.0,12,20
2026-08-27T16:17:30Z,-1229.0,12,20
2026-08-27T15:27:30Z,-1227.0,12,20
2026-08-27T14:42:30Z,-1229.0,12,20
2026-08-27T13:57:30Z,-1228.0,12,20
2026-08-27T13:17:30Z,-1230.0,12,20
2026-08-27T12:37:30Z,-1230.0,12,20
2026-08-27T11:47:30Z,-1232.0,12,20
2026-08-27T11:07:30Z,-1232.0,12,20
2026-08-27T10:32:30Z,-1231.0,12,20
2026-08-27T10:17:30Z,-1233.0,12,20
2026-08-27T09:57:30Z,-1237.0,12,20
2026-08-27T09:37:30Z,-1238.0,12,20
2026-08-27T09:12:30Z,-1236.0,12,20
2026-08-27T08:47:30Z,-1237.0,12,20
2026-08-27T08:25:00Z,-1236.0,12,20
2026-08-27T08:05:00Z,-1233.0,12,20
2026-08-27T08:00:00Z,-1232.0,12,20
2026-08-27T07:27:30Z,-1232.0,12,20
2026-08-27T06:37:30Z,-1228.0,12,20
2026-08-27T06:07:30Z,-1227.0,12,20
2026-08-27T02:17:30Z,-1226.0,12,20
2026-08-26T23:52:30Z,-1227.0,12,20
2026-08-26T22:12:30Z,-1231.0,12,20
2026-08-26T21:17:30Z,-1229.0,12,20
2026-08-26T18:47:30Z,-1227.0,12,20
2026-08-26T18:07:30Z,-1228.0,12,20
2026-08-26T17:17:30Z,-1231.0,12,20
2026-08-26T15:57:30Z,-1231.0,12,20
2026-08-26T15:02:30Z,-1232.0,12,20
2026-08-26T14:37:30Z,-1231.0,12,20
2026-08-26T12:25:30Z,-1232.0,12,20
2026-08-26T07:17:30Z,-1231.0,12,20
2026-08-26T05:47:30Z,-1227.0,12,20
2026-08-26T05:22:30Z,-1226.0,12,20
2026-08-26T04:27:30Z,-1228.0,12,20
2026-08-26T02:47:30Z,-1228.0,12,20
2026-08-26T00:37:30Z,-1227.0,12,20
2026-08-25T23:47:30Z,-1228.0,12,20
2026-08-25T22:52:30Z,-1227.0,12,20
2026-08-25T20:47:30Z,-1227.0,12,20
2026-08-25T19:57:30Z,-1229.0,12,20
2026-08-25T19:17:30Z,-1227.0,12,20
2026-08-25T18:02:30Z,-1228.0,12,20
2026-08-25T16:42:30Z,-1232.0,12,20
2026-08-25T15:47:30Z,-1230.0,12,20
2026-08-25T14:52:30Z,-1233.0,12,20
2026-08-25T13:12:00Z,-1233.0,12,20
2026-08-25T11:53:00Z,-1231.0,12,20
2026-08-25T10:01:30Z,-1232.0,12,20
2026-08-25T09:27:30Z,-1230.0,12,20
2026-08-25T08:18:00Z,-1232.0,12,20
2026-08-25T06:57:30Z,-1227.0,12,20
2026-08-25T06:12:30Z,-1228.0,12,20
2026-08-25T04:27:30Z,-1227.0,12,20
2026-08-25T03:22:30Z,-1228.0,12,20
2026-08-25T00:32:30Z,-1226.0,12,20
2026-08-24T23:57:30Z,-1227.0,12,20
2026-08-24T23:07:30Z,-1226.0,12,20
2026-08-24T20:22:30Z,-1228.0,12,20
2026-08-24T18:57:30Z,-1227.0,12,20
2026-08-24T18:02:30Z,-1231.0,12,20
2026-08-24T15:47:30Z,-1230.0,12,20
2026-08-24T14:52:00Z,-1233.0,12,20
2026-08-24T14:08:00Z,-1234.0,12,20
2026-08-24T11:08:30Z,-1233.0,12,20
2026-08-24T06:47:30Z,-1230.0,12,20
2026-08-24T06:27:30Z,-1228.0,12,20
2026-08-24T05:47:30Z,-1228.0,12,20
2026-08-24T05:07:30Z,-1227.0,12,20
2026-08-24T03:32:30Z,-1228.0,12,20
2026-08-24T02:47:30Z,-1227.0,12,20
2026-08-24T01:57:30Z,-1230.0,12,20
2026-08-24T00:42:30Z,-1230.0,12,20
2026-08-23T23:37:30Z,-1229.0,12,20
2026-08-23T21:57:30Z,-1231.0,12,20
2026-08-23T21:07:30Z,-1230.0,12,20
2026-08-23T19:52:30Z,-1231.0,12,20
2026-08-23T18:42:30Z,-1228.0,12,20
2026-08-23T17:37:30Z,-1233.0,12,20
2026-08-23T16:05:30Z,-1234.0,12,20
