date_obs,resultat_obs,code_statut,code_qualification_obs
2026-08-31T23:55:00Z,-870.0,8,16
2026-08-31T23:50:00Z,-875.0,8,16
2026-08-31T23:45:00Z,-871.0,8,16
2026-08-31T23:40:00Z,-875.0,8,16
2026-08-31T23:35:00Z,-874.0,8,16
2026-08-31T23:30:00Z,-875.0,8,16
2026-08-31T23:25:00Z,-879.0,8,16
2026-08-31T23:20:00Z,-877.0,8,16
2026-08-31T23:15:00Z,-880.0,8,16
2026-08-31T23:10:00Z,-874.0,8,16
2026-08-31T23:05:00Z,-875.0,8,16
2026-08-31T23:00:00Z,-876.0,8,16
2026-08-31T22:55:00Z,-876.0,8,16
2026-08-31T22:50:00Z,-875.0,8,16
2026-08-31T22:45:00Z,-875.0,8,16
2026-08-31T22:40:00Z,-880.0,8,16
2026-08-31T22:35:00Z,-879.0,8,16
2026-08-31T22:30:00Z,-875.0,8,16
2026-08-31T22:25:00Z,-879.0,8,16
2026-08-31T22:20:00Z,-877.0,8,16
2026-08-31T22:15:00Z,-876.0,8,16
2026-08-31T22:10:00Z,-876.0,8,16
2026-08-31T22:05:00Z,-876.0,8,16
2026-08-31T22:00:00Z,-874.0,8,16
2026-08-31T21:55:00Z,-876.0,8,16
2026-08-31T21:50:00Z,-874.0,8,16
2026-08-31T21:45:00Z,-877.0,8,16
2026-08-31T21:40:00Z,-876.0,8,16
2026-08-31T21:35:00Z,-870.0,8,16
2026-08-31T21:30:00Z,-872.0,8,16
2026-08-31T21:25:00Z,-876.0,8,16
2026-08-31T21:20:00Z,-872.0,8,16
2026-08-31T21:15:00Z,-877.0,8,16
2026-08-31T21:10:00Z,-874.0,8,16
2026-08-31T21:05:00Z,-875.0,8,16
2026-08-31T21:00:00Z,-876.0,8,16
2026-08-31T20:55:00Z,-884.0,8,16
2026-08-31T20:50:00Z,-877.0,8,16
2026-08-31T20:45:00Z,-872.0,8,16
2026-08-31T20:40:00Z,-874.0,8,16
2026-08-31T20:35:00Z,-879.0,8,16
2026-08-31T20:30:00Z,-871.0,8,16
2026-08-31T20:25:00Z,-882.0,8,16
2026-08-31T20:20:00Z,-876.0,8,16
2026-08-31T20:15:00Z,-880.0,8,16
2026-08-31T20:10:00Z,-882.0,8,16
2026-08-31T20:05:00Z,-880.0,8,16
2026-08-31T20:00:00Z,-884.0,8,16
2026-08-31T19:55:00Z,-882.0,8,16
2026-08-31T19:50:00Z,-886.0,8,16
2026-08-31T19:45:00Z,-885.0,8,16
2026-08-31T19:40:00Z,-886.0,8,16
2026-08-31T19:35:00Z,-887.0,8,16
2026-08-31T19:30:00Z,-885.0,8,16
2026-08-31T19:25:00Z,-889.0,8,16
2026-08-31T19:20:00Z,-897.0,8,16
2026-08-31T19:15:00Z,-887.0,8,16
2026-08-31T19:10:00Z,-890.0,8,16
2026-08-31T19:05:00Z,-887.0,8,16
2026-08-31T19:00:00Z,-894.0,8,16
2026-08-31T18:55:00Z,-891.0,8,16
2026-08-31T18:50:00Z,-891.0,8,16
2026-08-31T18:45:00Z,-886.0,8,16
2026-08-31T18:40:00Z,-887.0,8,16
2026-08-31T18:35:00Z,-891.0,8,16
2026-08-31T18:30:00Z,-884.0,8,16
2026-08-31T18:25:00Z,-885.0,8,16
2026-08-31T18:20:00Z,-890.0,8,16
2026-08-31T18:15:00Z,-884.0,8,16
2026-08-31T18:10:00Z,-884.0,8,16
2026-08-31T18:05:00Z,-880.0,8,16
2026-08-31T18:00:00Z,-875.0,8,16
2026-08-31T17:55:00Z,-870.0,8,16
2026-08-31T17:50:00Z,-881.0,8,16
2026-08-31T17:45:00Z,-876.0,8,16
2026-08-31T17:40:00Z,-875.0,8,16
2026-08-31T17:35:00Z,-866.0,8,16
2026-08-31T17:30:00Z,-869.0,8,16
2026-08-31T17:25:00Z,-866.0,8,16
2026-08-31T17:20:00Z,-866.0,8,16
2026-08-31T17:15:00Z,-861.0,8,16
2026-08-31T17:10:00Z,-861.0,8,16
2026-08-31T17:05:00Z,-861.0,8,16
2026-08-31T17:00:00Z,-860.0,8,16
2026-08-31T16:55:00Z,-850.0,8,16
2026-08-31T16:50:00Z,-849.0,8,16
2026-08-31T16:45:00Z,-849.0,8,16
2026-08-31T16:40:00Z,-841.0,8,16
2026-08-31T16:35:00Z,-844.0,8,16
2026-08-31T16:30:00Z,-844.0,8,16
2026-08-31T16:25:00Z,-840.0,8,16
2026-08-31T16:20:00Z,-839.0,8,16
2026-08-31T16:15:00Z,-827.0,8,16
2026-08-31T16:10:00Z,-826.0,8,16
2026-08-31T16:05:00Z,-822.0,8,16
2026-08-31T16:00:00Z,-821.0,8,16
2026-08-31T15:55:00Z,-821.0,8,16
2026-08-31T15:50:00Z,-821.0,8,16
2026-08-31T15:45:00Z,-817.0,8,16
2026-08-31T15:40:00Z,-817.0,8,16
2026-08-31T15:35:00Z,-810.0,8,16
2026-08-31T15:30:00Z,-810.0,8,16
2026-08-31T15:25:00Z,-807.0,8,16
2026-08-31T15:20:00Z,-804.0,8,16
2026-08-31T15:15:00Z,-814.0,8,16
2026-08-31T15:10:00Z,-805.0,8,16
2026-08-31T15:05:00Z,-804.0,8,16
2026-08-31T15:00:00Z,-809.0,8,16
2026-08-31T14:55:00Z,-807.0,8,16
2026-08-31T14:50:00Z,-806.0,8,16
2026-08-31T14:45:00Z,-814.0,8,16
2026-08-31T14:40:00Z,-815.0,8,16
2026-08-31T14:35:00Z,-815.0,8,16
2026-08-31T14:30:00Z,-817.0,8,16
2026-08-31T14:25:00Z,-822.0,8,16
2026-08-31T14:20:00Z,-826.0,8,16
2026-08-31T14:15:00Z,-826.0,8,16
2026-08-31T14:10:00Z,-834.0,8,16
2026-08-31T14:05:00Z,-831.0,8,16
2026-08-31T14:00:00Z,-841.0,8,16
2026-08-31T13:55:00Z,-847.0,8,16
2026-08-31T13:50:00Z,-850.0,8,16
2026-08-31T13:45:00Z,-857.0,8,16
2026-08-31T13:40:00Z,-855.0,8,16
2026-08-31T13:35:00Z,-861.0,8,16
2026-08-31T13:30:00Z,-869.0,8,16
2026-08-31T13:25:00Z,-870.0,8,16
2026-08-31T13:20:00Z,-869.0,8,16
2026-08-31T13:15:00Z,-874.0,8,16
2026-08-31T13:10:00Z,-884.0,8,16
2026-08-31T13:05:00Z,-892.0,8,16
2026-08-31T13:00:00Z,-881.0,8,16
2026-08-31T12:55:00Z,-896.0,8,16
2026-08-31T12:50:00Z,-896.0,8,16
2026-08-31T12:45:00Z,-902.0,8,16
2026-08-31T12:40:00Z,-910.0,8,16
2026-08-31T12:35:00Z,-907.0,8,16
2026-08-31T12:30:00Z,-902.0,8,16
2026-08-31T12:25:00Z,-906.0,8,16
2026-08-31T12:20:00Z,-904.0,8,16
2026-08-31T12:15:00Z,-905.0,8,16
2026-08-31T12:10:00Z,-909.0,8,16
2026-08-31T12:05:00Z,-909.0,8,16
2026-08-31T12:00:00Z,-902.0,8,16
2026-08-31T11:55:00Z,-902.0,8,16
2026-08-31T11:50:00Z,-899.0,8,16
2026-08-31T11:45:00Z,-900.0,8,16
2026-08-31T11:40:00Z,-896.0,8,16
2026-08-31T11:35:00Z,-900.0,8,16
2026-08-31T11:30:00Z,-892.0,8,16
2026-08-31T11:25:00Z,-896.0,8,16
2026-08-31T11:20:00Z,-894.0,8,16
2026-08-31T11:15:00Z,-891.0,8,16
2026-08-31T11:10:00Z,-894.0,8,16
2026-08-31T09:05:00Z,-890.0,8,16
2026-08-31T09:00:00Z,-889.0,8,16
2026-08-31T08:55:00Z,-890.0,8,16
2026-08-31T08:50:00Z,-889.0,8,16
2026-08-31T08:45:00Z,-889.0,8,16
2026-08-31T08:40:00Z,-889.0,8,16
2026-08-31T08:35:00Z,-882.0,8,16
2026-08-31T08:30:00Z,-882.0,8,16
2026-08-31T08:25:00Z,-881.0,8,16
2026-08-31T08:20:00Z,-885.0,8,16
2026-08-31T08:15:00Z,-882.0,8,16
2026-08-31T08:10:00Z,-880.0,8,16
2026-08-31T08:05:00Z,-874.0,8,16
2026-08-31T08:00:00Z,-875.0,8,16
2026-08-31T07:55:00Z,-871.0,8,16
2026-08-31T07:50:00Z,-874.0,8,16
2026-08-31T07:45:00Z,-874.0,8,16
