timestamp_utc,value_mm,statut,qualification,year,date
2016-06-01 00:30:00+00:00,608,16,20,2016,2016-06-01
2016-06-01 02:10:00+00:00,685,16,20,2016,2016-06-01
2016-06-01 03:00:00+00:00,725,16,20,2016,2016-06-01
2016-06-01 03:50:00+00:00,762,16,20,2016,2016-06-01
2016-06-01 04:10:00+00:00,776,16,20,2016,2016-06-01
2016-06-01 04:50:00+00:00,808,16,20,2016,2016-06-01
2016-06-01 05:50:00+00:00,852,16,20,2016,2016-06-01
2016-06-01 06:50:00+00:00,898,16,20,2016,2016-06-01
2016-06-01 07:40:00+00:00,934,16,20,2016,2016-06-01
2016-06-01 07:50:00+00:00,940,16,20,2016,2016-06-01
2016-06-01 08:30:00+00:00,963,16,20,2016,2016-06-01
2016-06-01 09:00:00+00:00,983,16,20,2016,2016-06-01
2016-06-01 10:10:00+00:00,1026,16,20,2016,2016-06-01
2016-06-01 10:40:00+00:00,1043,16,20,2016,2016-06-01
2016-06-01 11:00:00+00:00,1054,16,20,2016,2016-06-01
2016-06-01 11:20:00+00:00,1066,16,20,2016,2016-06-01
2016-06-01 11:40:00+00:00,1076,16,20,2016,2016-06-01
2016-06-01 12:50:00+00:00,1116,16,20,2016,2016-06-01
2016-06-01 13:00:00+00:00,1122,16,20,2016,2016-06-01
2016-06-01 13:20:00+00:00,1130,16,20,2016,2016-06-01
2016-06-01 13:40:00+00:00,1142,16,20,2016,2016-06-01
2016-06-01 14:20:00+00:00,1162,16,20,2016,2016-06-01
2016-06-01 14:50:00+00:00,1176,16,20,2016,2016-06-01
2016-06-01 16:50:00+00:00,1225,16,20,2016,2016-06-01
2016-06-01 17:50:00+00:00,1246,16,20,2016,2016-06-01
2016-06-01 18:30:00+00:00,1262,16,20,2016,2016-06-01
2016-06-01 19:10:00+00:00,1274,16,20,2016,2016-06-01
2016-06-01 20:20:00+00:00,1294,16,20,2016,2016-06-01
2016-06-01 20:40:00+00:00,1300,16,20,2016,2016-06-01
2016-06-01 21:10:00+00:00,1306,16,20,2016,2016-06-01
2016-06-01 21:40:00+00:00,1314,16,20,2016,2016-06-01
2016-06-01 22:10:00+00:00,1319,16,20,2016,2016-06-01
2016-06-01 22:30:00+00:00,1325,16,20,2016,2016-06-01
2016-06-01 22:50:00+00:00,1330,16,20,2016,2016-06-01
2016-06-01 23:40:00+00:00,1340,16,20,2016,2016-06-01
2016-06-02 00:10:00+00:00,1345,16,20,2016,2016-06-02
2016-06-02 00:40:00+00:00,1348,16,20,2016,2016-06-02
2016-06-02 02:10:00+00:00,1363,16,20,2016,2016-06-02
2016-06-02 02:40:00+00:00,1366,16,20,2016,2016-06-02
2016-06-02 03:30:00+00:00,1375,16,20,2016,2016-06-02
2016-06-02 04:10:00+00:00,1379,16,20,2016,2016-06-02
2016-06-02 04:40:00+00:00,1385,16,20,2016,2016-06-02
2016-06-02 05:30:00+00:00,1390,16,20,2016,2016-06-02
2016-06-02 05:50:00+00:00,1394,16,20,2016,2016-06-02
2016-06-02 06:20:00+00:00,1395,16,20,2016,2016-06-02
2016-06-02 07:20:00+00:00,1402,16,20,2016,2016-06-02
2016-06-02 08:50:00+00:00,1407,16,20,2016,2016-06-02
2016-06-02 09:30:00+00:00,1411,16,20,2016,2016-06-02
2016-06-02 10:40:00+00:00,1414,16,20,2016,2016-06-02
2016-06-02 13:00:00+00:00,1424,16,20,2016,2016-06-02
2016-06-02 13:30:00+00:00,1424,16,20,2016,2016-06-02
2016-06-02 13:50:00+00:00,1426,16,20,2016,2016-06-02
2016-06-02 14:10:00+00:00,1426,16,20,2016,2016-06-02
2016-06-02 14:50:00+00:00,1431,16,20,2016,2016-06-02
2016-06-02 15:30:00+00:00,1434,16,20,2016,2016-06-02
2016-06-02 16:40:00+00:00,1434,16,20,2016,2016-06-02
2016-06-02 17:20:00+00:00,1439,16,20,2016,2016-06-02
2016-06-02 19:00:00+00:00,1444,16,20,2016,2016-06-02
2016-06-02 19:20:00+00:00,1447,16,20,2016,2016-06-02
2016-06-02 19:50:00+00:00,1449,16,20,2016,2016-06-02
2016-06-02 20:10:00+00:00,1452,16,20,2016,2016-06-02
2016-06-02 20:40:00+00:00,1454,16,20,2016,2016-06-02
2016-06-02 21:10:00+00:00,1459,16,20,2016,2016-06-02
2016-06-02 21:50:00+00:00,1462,16,20,2016,2016-06-02
2016-06-02 22:10:00+00:00,1464,16,20,2016,2016-06-02
2016-06-02 22:30:00+00:00,1466,16,20,2016,2016-06-02
2016-06-02 23:00:00+00:00,1470,16,20,2016,2016-06-02
2016-06-03 00:10:00+00:00,1477,16,20,2016,2016-06-03
2016-06-03 01:20:00+00:00,1489,16,20,2016,2016-06-03
2016-06-03 02:10:00+00:00,1495,16,20,2016,2016-06-03
2016-06-03 03:20:00+00:00,1508,16,20,2016,2016-06-03
2016-06-03 03:40:00+00:00,1512,16,20,2016,2016-06-03
2016-06-03 04:20:00+00:00,1518,16,20,2016,2016-06-03
2016-06-03 04:40:00+00:00,1524,16,20,2016,2016-06-03
2016-06-03 05:00:00+00:00,1527,16,20,2016,2016-06-03
2016-06-03 05:30:00+00:00,1534,16,20,2016,2016-06-03
2016-06-03 06:00:00+00:00,1538,16,20,2016,2016-06-03
2016-06-03 06:30:00+00:00,1544,16,20,2016,2016-06-03
2016-06-03 06:50:00+00:00,1548,16,20,2016,2016-06-03
2016-06-03 07:50:00+00:00,1562,16,20,2016,2016-06-03
2016-06-03 08:10:00+00:00,1565,16,20,2016,2016-06-03
2016-06-03 09:00:00+00:00,1578,16,20,2016,2016-06-03
2016-06-03 09:30:00+00:00,1584,16,20,2016,2016-06-03
2016-06-03 10:00:00+00:00,1590,16,20,2016,2016-06-03
2016-06-03 10:40:00+00:00,1600,16,20,2016,2016-06-03
2016-06-03 11:20:00+00:00,1608,16,20,2016,2016-06-03
2016-06-03 11:50:00+00:00,1616,16,20,2016,2016-06-03
2016-06-03 12:10:00+00:00,1619,16,20,2016,2016-06-03
2016-06-03 12:40:00+00:00,1626,16,20,2016,2016-06-03
2016-06-03 13:00:00+00:00,1629,16,20,2016,2016-06-03
2016-06-03 13:30:00+00:00,1636,16,20,2016,2016-06-03
2016-06-03 14:10:00+00:00,1643,16,20,2016,2016-06-03
2016-06-03 15:00:00+00:00,1655,16,20,2016,2016-06-03
2016-06-03 17:10:00+00:00,1682,16,20,2016,2016-06-03
2016-06-03 17:30:00+00:00,1688,16,20,2016,2016-06-03
2016-06-03 17:50:00+00:00,1692,16,20,2016,2016-06-03
2016-06-03 19:00:00+00:00,1705,16,20,2016,2016-06-03
2016-06-03 19:20:00+00:00,1708,16,20,2016,2016-06-03
2016-06-03 19:40:00+00:00,1709,16,20,2016,2016-06-03
2016-06-03 20:30:00+00:00,1720,16,20,2016,2016-06-03
2016-06-03 21:00:00+00:00,1725,16,20,2016,2016-06-03
2016-06-03 21:30:00+00:00,1731,16,20,2016,2016-06-03
2016-06-03 21:50:00+00:00,1734,16,20,2016,2016-06-03
2016-06-03 22:30:00+00:00,1741,16,20,2016,2016-06-03
2016-06-04 00:00:00+00:00,1754,16,20,2016,2016-06-04
2016-06-04 03:50:00+00:00,1789,16,20,2016,2016-06-04
2016-06-04 09:50:00+00:00,1827,16,20,2016,2016-06-04
2016-06-04 13:10:00+00:00,1843,16,20,2016,2016-06-04
2016-06-04 15:50:00+00:00,1851,16,20,2016,2016-06-04
2016-06-04 18:40:00+00:00,1854,16,20,2016,2016-06-04
2016-06-04 20:30:00+00:00,1861,16,20,2016,2016-06-04
2016-06-04 21:10:00+00:00,1859,16,20,2016,2016-06-04
2016-06-04 23:40:00+00:00,1863,16,20,2016,2016-06-04
2016-06-05 03:50:00+00:00,1863,16,20,2016,2016-06-05
2016-06-05 07:40:00+00:00,1857,16,20,2016,2016-06-05
2016-06-05 10:10:00+00:00,1847,16,20,2016,2016-06-05
2016-06-05 13:10:00+00:00,1840,16,20,2016,2016-06-05
2016-06-05 15:40:00+00:00,1824,16,20,2016,2016-06-05
2016-06-05 18:20:00+00:00,1813,16,20,2016,2016-06-05
2016-06-05 19:00:00+00:00,1807,16,20,2016,2016-06-05
2016-06-05 21:20:00+00:00,1795,16,20,2016,2016-06-05
2016-06-05 23:20:00+00:00,1778,16,20,2016,2016-06-05
2016-06-06 03:00:00+00:00,1753,16,20,2016,2016-06-06
2016-06-06 04:50:00+00:00,1736,16,20,2016,2016-06-06
2016-06-06 07:10:00+00:00,1720,16,20,2016,2016-06-06
2016-06-06 07:40:00+00:00,1713,16,20,2016,2016-06-06
2016-06-06 10:30:00+00:00,1693,16,20,2016,2016-06-06
2016-06-06 13:20:00+00:00,1669,16,20,2016,2016-06-06
2016-06-06 18:20:00+00:00,1615,16,20,2016,2016-06-06
2016-06-06 20:00:00+00:00,1595,16,20,2016,2016-06-06
2016-06-06 22:00:00+00:00,1566,16,20,2016,2016-06-06
2016-06-07 01:50:00+00:00,1503,16,20,2016,2016-06-07
2016-06-07 04:20:00+00:00,1456,16,20,2016,2016-06-07
2016-06-07 06:00:00+00:00,1418,16,20,2016,2016-06-07
2016-06-07 09:30:00+00:00,1345,16,20,2016,2016-06-07
2016-06-07 10:10:00+00:00,1328,16,20,2016,2016-06-07
2016-06-07 11:10:00+00:00,1308,16,20,2016,2016-06-07
2016-06-07 14:20:00+00:00,1236,16,20,2016,2016-06-07
2016-06-07 15:10:00+00:00,1220,16,20,2016,2016-06-07
2016-06-07 15:50:00+00:00,1203,16,20,2016,2016-06-07
2016-06-07 20:30:00+00:00,1105,16,20,2016,2016-06-07
2016-06-07 22:40:00+00:00,1063,16,20,2016,2016-06-07
2016-06-08 03:20:00+00:00,982,16,20,2016,2016-06-08
2016-06-08 04:50:00+00:00,962,16,20,2016,2016-06-08
2016-06-08 06:20:00+00:00,930,16,20,2016,2016-06-08
2016-06-08 07:10:00+00:00,916,16,20,2016,2016-06-08
2016-06-08 08:20:00+00:00,897,16,20,2016,2016-06-08
2016-06-08 09:10:00+00:00,889,16,20,2016,2016-06-08
2016-06-08 10:50:00+00:00,862,16,20,2016,2016-06-08
2016-06-08 11:40:00+00:00,843,16,20,2016,2016-06-08
2016-06-08 13:00:00+00:00,822,16,20,2016,2016-06-08
2016-06-08 14:10:00+00:00,810,16,20,2016,2016-06-08
2016-06-08 17:30:00+00:00,758,16,20,2016,2016-06-08
2016-06-08 21:10:00+00:00,721,16,20,2016,2016-06-08
2016-06-08 22:10:00+00:00,706,16,20,2016,2016-06-08
2016-06-09 00:30:00+00:00,691,16,20,2016,2016-06-09
2016-06-09 02:30:00+00:00,674,16,20,2016,2016-06-09
2016-06-09 03:50:00+00:00,658,16,20,2016,2016-06-09
2016-06-09 05:00:00+00:00,654,16,20,2016,2016-06-09
2016-06-09 07:30:00+00:00,632,16,20,2016,2016-06-09
2016-06-09 08:30:00+00:00,620,16,20,2016,2016-06-09
2016-06-09 09:50:00+00:00,612,16,20,2016,2016-06-09
2016-06-09 11:40:00+00:00,596,16,20,2016,2016-06-09
2016-06-09 14:30:00+00:00,567,16,20,2016,2016-06-09
2016-06-09 15:50:00+00:00,550,16,20,2016,2016-06-09
2016-06-09 16:40:00+00:00,547,16,20,2016,2016-06-09
2016-06-09 21:20:00+00:00,500,16,20,2016,2016-06-09
2016-06-09 22:30:00+00:00,494,16,20,2016,2016-06-09
2016-06-10 01:20:00+00:00,472,16,20,2016,2016-06-10
2016-06-10 02:00:00+00:00,464,16,20,2016,2016-06-10
2016-06-10 04:40:00+00:00,443,16,20,2016,2016-06-10
2016-06-10 06:20:00+00:00,434,16,20,2016,2016-06-10
2016-06-10 07:20:00+00:00,422,16,20,2016,2016-06-10
2016-06-10 08:20:00+00:00,420,16,20,2016,2016-06-10
2016-06-10 13:30:00+00:00,387,16,20,2016,2016-06-10
2016-06-10 17:40:00+00:00,368,16,20,2016,2016-06-10
2016-06-10 18:50:00+00:00,360,16,20,2016,2016-06-10
2016-06-10 20:50:00+00:00,362,16,20,2016,2016-06-10
2016-06-11 02:20:00+00:00,327,16,20,2016,2016-06-11
2016-06-11 03:30:00+00:00,322,16,20,2016,2016-06-11
2016-06-11 07:50:00+00:00,314,16,20,2016,2016-06-11
2016-06-11 09:50:00+00:00,307,16,20,2016,2016-06-11
2016-06-11 14:20:00+00:00,279,16,20,2016,2016-06-11
2016-06-11 15:10:00+00:00,280,16,20,2016,2016-06-11
2016-06-11 15:50:00+00:00,276,16,20,2016,2016-06-11
2016-06-11 17:50:00+00:00,260,16,20,2016,2016-06-11
2016-06-11 22:40:00+00:00,229,16,20,2016,2016-06-11
2016-06-12 05:30:00+00:00,194,16,20,2016,2016-06-12
2016-06-12 10:00:00+00:00,166,16,20,2016,2016-06-12
2016-06-12 11:10:00+00:00,163,16,20,2016,2016-06-12
2016-06-12 15:10:00+00:00,141,16,20,2016,2016-06-12
2016-06-12 19:00:00+00:00,127,16,20,2016,2016-06-12
2016-06-12 20:00:00+00:00,126,16,20,2016,2016-06-12
2016-06-12 22:40:00+00:00,113,16,20,2016,2016-06-12
2016-06-13 03:10:00+00:00,98,16,20,2016,2016-06-13
2016-06-13 06:10:00+00:00,96,16,20,2016,2016-06-13
2016-06-13 07:40:00+00:00,99,16,20,2016,2016-06-13
2016-06-13 10:40:00+00:00,92,16,20,2016,2016-06-13
2016-06-13 17:40:00+00:00,66,16,20,2016,2016-06-13
2016-06-13 19:30:00+00:00,54,16,20,2016,2016-06-13
2016-06-13 21:00:00+00:00,48,16,20,2016,2016-06-13
2016-06-13 21:20:00+00:00,48,16,20,2016,2016-06-13
2016-06-13 21:50:00+00:00,56,16,20,2016,2016-06-13
2016-06-13 22:40:00+00:00,61,16,20,2016,2016-06-13
2016-06-14 00:30:00+00:00,40,16,20,2016,2016-06-14
2016-06-14 03:00:00+00:00,36,16,20,2016,2016-06-14
2016-06-14 04:40:00+00:00,26,16,20,2016,2016-06-14
2016-06-14 08:10:00+00:00,15,16,20,2016,2016-06-14
2016-06-14 11:40:00+00:00,7,16,20,2016,2016-06-14
2016-06-14 14:50:00+00:00,4,16,20,2016,2016-06-14
2016-06-14 17:00:00+00:00,-3,16,20,2016,2016-06-14
2016-06-14 18:00:00+00:00,-10,16,20,2016,2016-06-14
2016-06-15 02:10:00+00:00,-33,16,20,2016,2016-06-15
2016-06-15 04:20:00+00:00,-37,16,20,2016,2016-06-15
2016-06-15 06:40:00+00:00,-37,16,20,2016,2016-06-15
2016-06-15 09:30:00+00:00,-33,16,20,2016,2016-06-15
2016-06-15 12:00:00+00:00,-34,16,20,2016,2016-06-15
2016-06-15 14:00:00+00:00,-30,16,20,2016,2016-06-15
2016-06-15 17:10:00+00:00,-33,16,20,2016,2016-06-15
2016-06-15 18:10:00+00:00,-25,16,20,2016,2016-06-15
2016-06-15 18:30:00+00:00,-25,16,20,2016,2016-06-15
2016-06-15 21:10:00+00:00,-36,16,20,2016,2016-06-15
2016-06-16 00:00:00+00:00,-34,16,20,2016,2016-06-16
2016-06-16 02:30:00+00:00,-30,16,20,2016,2016-06-16
2016-06-16 12:00:00+00:00,-26,16,20,2016,2016-06-16
2016-06-16 13:00:00+00:00,-24,16,20,2016,2016-06-16
2016-06-16 13:40:00+00:00,-16,16,20,2016,2016-06-16
2016-06-16 16:20:00+00:00,-22,16,20,2016,2016-06-16
2016-06-16 21:50:00+00:00,-24,16,20,2016,2016-06-16
2016-06-17 01:30:00+00:00,-19,16,20,2016,2016-06-17
2016-06-17 02:20:00+00:00,-13,16,20,2016,2016-06-17
2016-06-17 04:10:00+00:00,-9,16,20,2016,2016-06-17
2016-06-17 08:10:00+00:00,6,16,20,2016,2016-06-17
2016-06-17 15:10:00+00:00,23,16,20,2016,2016-06-17
2016-06-17 18:10:00+00:00,34,16,20,2016,2016-06-17
2016-06-17 20:40:00+00:00,38,16,20,2016,2016-06-17
2016-06-17 23:50:00+00:00,37,16,20,2016,2016-06-17
2016-06-18 00:20:00+00:00,44,16,20,2016,2016-06-18
2016-06-18 00:40:00+00:00,41,16,20,2016,2016-06-18
2016-06-18 01:30:00+00:00,41,16,20,2016,2016-06-18
2016-06-18 02:00:00+00:00,44,16,20,2016,2016-06-18
2016-06-18 02:30:00+00:00,42,16,20,2016,2016-06-18
2016-06-18 02:50:00+00:00,37,16,20,2016,2016-06-18
2016-06-18 03:30:00+00:00,35,16,20,2016,2016-06-18
2016-06-18 06:00:00+00:00,36,16,20,2016,2016-06-18
2016-06-18 08:30:00+00:00,30,16,20,2016,2016-06-18
2016-06-18 15:50:00+00:00,28,16,20,2016,2016-06-18
2016-06-19 02:20:00+00:00,4,16,20,2016,2016-06-19
2016-06-19 05:00:00+00:00,1,16,20,2016,2016-06-19
2016-06-19 07:40:00+00:00,-9,16,20,2016,2016-06-19
2016-06-19 10:50:00+00:00,-15,16,20,2016,2016-06-19
2016-06-19 12:20:00+00:00,-21,16,20,2016,2016-06-19
2016-06-19 18:40:00+00:00,-39,16,20,2016,2016-06-19
2016-06-20 00:40:00+00:00,-65,16,20,2016,2016-06-20
2016-06-20 01:40:00+00:00,-65,16,20,2016,2016-06-20
2016-06-20 03:20:00+00:00,-73,16,20,2016,2016-06-20
2016-06-20 03:40:00+00:00,-72,16,20,2016,2016-06-20
2016-06-20 07:00:00+00:00,-90,16,20,2016,2016-06-20
2016-06-20 08:40:00+00:00,-94,16,20,2016,2016-06-20
2016-06-20 12:20:00+00:00,-112,16,20,2016,2016-06-20
2016-06-20 15:10:00+00:00,-118,16,20,2016,2016-06-20
2016-06-20 17:30:00+00:00,-129,16,20,2016,2016-06-20
2016-06-20 18:40:00+00:00,-128,16,20,2016,2016-06-20
2016-06-20 19:50:00+00:00,-131,16,20,2016,2016-06-20
2016-06-20 20:40:00+00:00,-137,16,20,2016,2016-06-20
2016-06-21 00:20:00+00:00,-151,16,20,2016,2016-06-21
2016-06-21 01:40:00+00:00,-150,16,20,2016,2016-06-21
2016-06-21 02:30:00+00:00,-157,16,20,2016,2016-06-21
2016-06-21 05:50:00+00:00,-171,16,20,2016,2016-06-21
2016-06-21 07:00:00+00:00,-171,16,20,2016,2016-06-21
