timestamp_utc,value_mm,statut,qualification,year,date
2016-06-01 00:27:00+00:00,2620,16,20,2016,2016-06-01
2016-06-01 01:03:00+00:00,2650,16,20,2016,2016-06-01
2016-06-01 01:30:00+00:00,2670,16,20,2016,2016-06-01
2016-06-01 03:21:00+00:00,2700,16,20,2016,2016-06-01
2016-06-01 06:43:00+00:00,2700,16,20,2016,2016-06-01
2016-06-01 07:54:00+00:00,2670,16,20,2016,2016-06-01
2016-06-01 09:41:00+00:00,2580,16,20,2016,2016-06-01
2016-06-01 10:06:00+00:00,2570,16,20,2016,2016-06-01
2016-06-01 10:50:00+00:00,2570,16,20,2016,2016-06-01
2016-06-01 12:09:00+00:00,2630,16,20,2016,2016-06-01
2016-06-01 13:56:00+00:00,2760,16,20,2016,2016-06-01
2016-06-01 14:48:00+00:00,2790,16,20,2016,2016-06-01
2016-06-01 15:19:00+00:00,2790,16,20,2016,2016-06-01
2016-06-01 16:02:00+00:00,2760,16,20,2016,2016-06-01
2016-06-01 16:19:00+00:00,2730,16,20,2016,2016-06-01
2016-06-01 16:40:00+00:00,2690,16,20,2016,2016-06-01
2016-06-01 17:58:00+00:00,2490,16,20,2016,2016-06-01
2016-06-01 18:39:00+00:00,2420,16,20,2016,2016-06-01
2016-06-01 19:00:00+00:00,2400,16,20,2016,2016-06-01
2016-06-01 19:19:00+00:00,2400,16,20,2016,2016-06-01
2016-06-01 19:59:00+00:00,2430,16,20,2016,2016-06-01
2016-06-01 21:30:00+00:00,2580,16,20,2016,2016-06-01
2016-06-01 21:48:00+00:00,2600,16,20,2016,2016-06-01
2016-06-01 22:20:00+00:00,2620,16,20,2016,2016-06-01
2016-06-01 22:34:00+00:00,2620,16,20,2016,2016-06-01
2016-06-02 00:03:00+00:00,2570,16,20,2016,2016-06-02
2016-06-02 01:09:00+00:00,2570,16,20,2016,2016-06-02
2016-06-02 02:07:00+00:00,2600,16,20,2016,2016-06-02
2016-06-02 02:52:00+00:00,2610,16,20,2016,2016-06-02
2016-06-02 03:20:00+00:00,2600,16,20,2016,2016-06-02
2016-06-02 04:46:00+00:00,2540,16,20,2016,2016-06-02
2016-06-02 05:29:00+00:00,2520,16,20,2016,2016-06-02
2016-06-02 06:10:00+00:00,2510,16,20,2016,2016-06-02
2016-06-02 06:46:00+00:00,2520,16,20,2016,2016-06-02
2016-06-02 07:19:00+00:00,2540,16,20,2016,2016-06-02
2016-06-02 09:25:00+00:00,2660,16,20,2016,2016-06-02
2016-06-02 11:35:00+00:00,2870,16,20,2016,2016-06-02
2016-06-02 11:58:00+00:00,2900,16,20,2016,2016-06-02
2016-06-02 12:43:00+00:00,2930,16,20,2016,2016-06-02
2016-06-02 13:12:00+00:00,2930,16,20,2016,2016-06-02
2016-06-02 13:34:00+00:00,2920,16,20,2016,2016-06-02
2016-06-02 14:03:00+00:00,2900,16,20,2016,2016-06-02
2016-06-02 16:11:00+00:00,2780,16,20,2016,2016-06-02
2016-06-02 16:57:00+00:00,2770,16,20,2016,2016-06-02
2016-06-02 18:39:00+00:00,2830,16,20,2016,2016-06-02
2016-06-02 19:17:00+00:00,2830,16,20,2016,2016-06-02
2016-06-02 20:40:00+00:00,2790,16,20,2016,2016-06-02
2016-06-02 21:06:00+00:00,2790,16,20,2016,2016-06-02
2016-06-02 22:51:00+00:00,2820,16,20,2016,2016-06-02
2016-06-03 00:45:00+00:00,2810,16,20,2016,2016-06-03
2016-06-03 02:36:00+00:00,2840,16,20,2016,2016-06-03
2016-06-03 04:09:00+00:00,2800,16,20,2016,2016-06-03
2016-06-03 04:50:00+00:00,2800,16,20,2016,2016-06-03
2016-06-03 05:11:00+00:00,2820,16,20,2016,2016-06-03
2016-06-03 06:28:00+00:00,2860,16,20,2016,2016-06-03
2016-06-03 07:04:00+00:00,2860,16,20,2016,2016-06-03
2016-06-03 07:49:00+00:00,2840,16,20,2016,2016-06-03
2016-06-03 08:56:00+00:00,2840,16,20,2016,2016-06-03
2016-06-03 09:35:00+00:00,2850,16,20,2016,2016-06-03
2016-06-03 11:26:00+00:00,2900,16,20,2016,2016-06-03
2016-06-03 12:12:00+00:00,2910,16,20,2016,2016-06-03
2016-06-03 14:19:00+00:00,2900,16,20,2016,2016-06-03
2016-06-03 15:39:00+00:00,2920,16,20,2016,2016-06-03
2016-06-03 16:30:00+00:00,2920,16,20,2016,2016-06-03
2016-06-03 17:41:00+00:00,2880,16,20,2016,2016-06-03
2016-06-03 18:05:00+00:00,2880,16,20,2016,2016-06-03
2016-06-03 18:28:00+00:00,2870,16,20,2016,2016-06-03
2016-06-03 20:11:00+00:00,2920,16,20,2016,2016-06-03
2016-06-03 22:26:00+00:00,2910,16,20,2016,2016-06-03
2016-06-04 00:39:00+00:00,2980,16,20,2016,2016-06-04
2016-06-04 00:59:00+00:00,2980,16,20,2016,2016-06-04
2016-06-04 02:27:00+00:00,2930,16,20,2016,2016-06-04
2016-06-04 05:09:00+00:00,2900,16,20,2016,2016-06-04
2016-06-04 06:27:00+00:00,2860,16,20,2016,2016-06-04
2016-06-04 07:08:00+00:00,2860,16,20,2016,2016-06-04
2016-06-04 08:11:00+00:00,2890,16,20,2016,2016-06-04
2016-06-04 08:35:00+00:00,2910,16,20,2016,2016-06-04
2016-06-04 09:27:00+00:00,2920,16,20,2016,2016-06-04
2016-06-04 14:33:00+00:00,2900,16,20,2016,2016-06-04
2016-06-04 15:43:00+00:00,2930,16,20,2016,2016-06-04
2016-06-04 16:13:00+00:00,2930,16,20,2016,2016-06-04
2016-06-04 18:35:00+00:00,2890,16,20,2016,2016-06-04
2016-06-04 21:00:00+00:00,2890,16,20,2016,2016-06-04
2016-06-04 21:27:00+00:00,2870,16,20,2016,2016-06-04
2016-06-04 22:36:00+00:00,2840,16,20,2016,2016-06-04
2016-06-04 23:17:00+00:00,2840,16,20,2016,2016-06-04
2016-06-05 00:51:00+00:00,2880,16,20,2016,2016-06-05
2016-06-05 01:44:00+00:00,2880,16,20,2016,2016-06-05
2016-06-05 03:06:00+00:00,2860,16,20,2016,2016-06-05
2016-06-05 05:05:00+00:00,2860,16,20,2016,2016-06-05
2016-06-05 05:42:00+00:00,2840,16,20,2016,2016-06-05
2016-06-05 06:37:00+00:00,2790,16,20,2016,2016-06-05
2016-06-05 06:56:00+00:00,2780,16,20,2016,2016-06-05
2016-06-05 12:50:00+00:00,2800,16,20,2016,2016-06-05
2016-06-05 14:58:00+00:00,2790,16,20,2016,2016-06-05
2016-06-05 16:05:00+00:00,2800,16,20,2016,2016-06-05
2016-06-05 17:07:00+00:00,2830,16,20,2016,2016-06-05
2016-06-05 18:06:00+00:00,2830,16,20,2016,2016-06-05
2016-06-05 18:37:00+00:00,2820,16,20,2016,2016-06-05
2016-06-05 19:47:00+00:00,2780,16,20,2016,2016-06-05
2016-06-05 21:37:00+00:00,2760,16,20,2016,2016-06-05
2016-06-05 23:30:00+00:00,2720,16,20,2016,2016-06-05
2016-06-06 00:14:00+00:00,2720,16,20,2016,2016-06-06
2016-06-06 01:26:00+00:00,2740,16,20,2016,2016-06-06
2016-06-06 02:34:00+00:00,2710,16,20,2016,2016-06-06
2016-06-06 03:31:00+00:00,2700,16,20,2016,2016-06-06
2016-06-06 04:45:00+00:00,2740,16,20,2016,2016-06-06
2016-06-06 04:59:00+00:00,2740,16,20,2016,2016-06-06
2016-06-06 05:40:00+00:00,2720,16,20,2016,2016-06-06
2016-06-06 06:43:00+00:00,2670,16,20,2016,2016-06-06
2016-06-06 07:28:00+00:00,2650,16,20,2016,2016-06-06
2016-06-06 10:07:00+00:00,2710,16,20,2016,2016-06-06
2016-06-06 11:07:00+00:00,2710,16,20,2016,2016-06-06
2016-06-06 12:57:00+00:00,2660,16,20,2016,2016-06-06
2016-06-06 14:05:00+00:00,2620,16,20,2016,2016-06-06
2016-06-06 16:18:00+00:00,2520,16,20,2016,2016-06-06
2016-06-06 16:45:00+00:00,2510,16,20,2016,2016-06-06
2016-06-06 17:50:00+00:00,2510,16,20,2016,2016-06-06
2016-06-06 18:10:00+00:00,2520,16,20,2016,2016-06-06
2016-06-06 18:48:00+00:00,2560,16,20,2016,2016-06-06
2016-06-06 19:48:00+00:00,2640,16,20,2016,2016-06-06
2016-06-06 21:21:00+00:00,2750,16,20,2016,2016-06-06
2016-06-06 22:41:00+00:00,2810,16,20,2016,2016-06-06
2016-06-06 23:44:00+00:00,2830,16,20,2016,2016-06-06
2016-06-07 00:37:00+00:00,2800,16,20,2016,2016-06-07
2016-06-07 02:45:00+00:00,2690,16,20,2016,2016-06-07
2016-06-07 04:45:00+00:00,2660,16,20,2016,2016-06-07
2016-06-07 07:09:00+00:00,2590,16,20,2016,2016-06-07
2016-06-07 10:32:00+00:00,2600,16,20,2016,2016-06-07
2016-06-07 12:19:00+00:00,2580,16,20,2016,2016-06-07
2016-06-07 13:56:00+00:00,2520,16,20,2016,2016-06-07
2016-06-07 15:24:00+00:00,2440,16,20,2016,2016-06-07
2016-06-07 16:09:00+00:00,2410,16,20,2016,2016-06-07
2016-06-07 16:58:00+00:00,2380,16,20,2016,2016-06-07
2016-06-07 18:11:00+00:00,2360,16,20,2016,2016-06-07
2016-06-07 20:19:00+00:00,2330,16,20,2016,2016-06-07
2016-06-08 00:02:00+00:00,2340,16,20,2016,2016-06-08
2016-06-08 01:39:00+00:00,2310,16,20,2016,2016-06-08
2016-06-08 03:15:00+00:00,2310,16,20,2016,2016-06-08
2016-06-08 05:13:00+00:00,2340,16,20,2016,2016-06-08
2016-06-08 08:33:00+00:00,2340,16,20,2016,2016-06-08
2016-06-08 09:45:00+00:00,2330,16,20,2016,2016-06-08
2016-06-08 10:50:00+00:00,2310,16,20,2016,2016-06-08
2016-06-08 12:37:00+00:00,2260,16,20,2016,2016-06-08
2016-06-08 14:42:00+00:00,2220,16,20,2016,2016-06-08
2016-06-08 15:53:00+00:00,2180,16,20,2016,2016-06-08
2016-06-08 16:26:00+00:00,2170,16,20,2016,2016-06-08
2016-06-08 17:56:00+00:00,2170,16,20,2016,2016-06-08
2016-06-08 21:01:00+00:00,2200,16,20,2016,2016-06-08
2016-06-08 22:31:00+00:00,2170,16,20,2016,2016-06-08
2016-06-09 02:38:00+00:00,2060,16,20,2016,2016-06-09
2016-06-09 03:48:00+00:00,2040,16,20,2016,2016-06-09
2016-06-09 06:20:00+00:00,2030,16,20,2016,2016-06-09
