Daten basieren auf Rohdaten. Quelle: An NIWIS-beteiligte Behörden/Institutionen. Es gelten die Nutzungsbedingungen.
Datenquellen und Lizenzen: https://niwis-online.de/redaktion/seitenlink/DATENQUELLEN_UND_LIZENZEN
Dargestellte Größen: Wasserstand, Wasserstand Klassifikation mit variablen Grenzwerten, Zeitraum: 01.06.2026 - 01.09.2026, Referenzzeitraum: 01.01.1991 - 31.12.2020 (Kalenderjahr), Exportdatum: 01.09.2026 20:56
Messstelle: Dresden (Elbe)

"Datum";"Wasserstand [cm]";"extrem niedrig [cm]";"sehr niedrig [cm]";"niedrig [cm]"
"01.09.2026";"";"53,4";"63,25";"87,31"
"31.08.2026";"71";"53,26";"63,14";"87,41"
"30.08.2026";"80";"53,13";"63,04";"87,54"
"29.08.2026";"61";"52,99";"62,98";"87,67"
"28.08.2026";"61";"52,85";"62,91";"87,82"
"27.08.2026";"64";"52,74";"62,85";"88,01"
"26.08.2026";"74";"52,65";"62,78";"88,17"
"25.08.2026";"85";"52,55";"62,72";"88,36"
"24.08.2026";"101";"52,45";"62,62";"88,56"
"23.08.2026";"124";"52,4";"62,52";"88,75"
"22.08.2026";"89";"52,35";"62,43";"88,94"
"21.08.2026";"73";"52,3";"62,33";"89,11"
"20.08.2026";"71";"52,27";"62,25";"89,27"
"19.08.2026";"65";"52,24";"62,18";"89,44"
"18.08.2026";"71";"52,22";"62,12";"89,6"
"17.08.2026";"48";"52,2";"62,05";"89,76"
"16.08.2026";"43";"52,21";"61,99";"89,92"
"15.08.2026";"43";"52,22";"61,93";"90,05"
"14.08.2026";"46";"52,25";"61,89";"90,21"
"13.08.2026";"50";"52,28";"61,86";"90,37"
"12.08.2026";"51";"52,32";"61,85";"90,5"
"11.08.2026";"51";"52,41";"61,85";"90,63"
"10.08.2026";"52";"52,51";"61,86";"90,76"
"09.08.2026";"52";"52,6";"61,88";"90,89"
"08.08.2026";"52";"52,68";"61,91";"91,02"
"07.08.2026";"52";"52,74";"61,95";"91,18"
"06.08.2026";"53";"52,81";"61,98";"91,34"
"05.08.2026";"54";"52,88";"62,03";"91,53"
"04.08.2026";"53";"52,96";"62,13";"91,73"
"03.08.2026";"52";"53,03";"62,22";"91,92"
"02.08.2026";"54";"53,1";"62,32";"92,11"
"01.08.2026";"53";"53,18";"62,42";"92,31"
"31.07.2026";"51";"53,25";"62,51";"92,5"
"30.07.2026";"54";"53,35";"62,61";"92,67"
"29.07.2026";"63";"53,44";"62,71";"92,83"
"28.07.2026";"54";"53,54";"62,82";"92,99"
"27.07.2026";"52";"53,65";"62,95";"93,12"
"26.07.2026";"59";"53,75";"63,11";"93,25"
"25.07.2026";"54";"53,86";"63,28";"93,41"
"24.07.2026";"57";"54,03";"63,54";"93,57"
"23.07.2026";"59";"54,23";"63,8";"93,73"
"22.07.2026";"68";"54,44";"64,06";"93,89"
"21.07.2026";"69";"54,64";"64,33";"94,07"
"20.07.2026";"72";"54,84";"64,61";"94,27"
"19.07.2026";"67";"55,04";"64,86";"94,46"
"18.07.2026";"66";"55,23";"65,15";"94,65"
"17.07.2026";"77";"55,42";"65,45";"94,85"
"16.07.2026";"63";"55,58";"65,74";"95,04"
"15.07.2026";"57";"55,74";"66,06";"95,27"
"14.07.2026";"53";"55,88";"66,36";"95,46"
"13.07.2026";"54";"56,02";"66,69";"95,65"
"12.07.2026";"54";"56,15";"67,04";"95,85"
"11.07.2026";"56";"56,26";"67,4";"96,04"
"10.07.2026";"64";"56,4";"67,75";"96,27"
"09.07.2026";"70";"56,56";"68,14";"96,49"
"08.07.2026";"73";"56,77";"68,52";"96,72"
"07.07.2026";"68";"57,07";"68,91";"96,91"
"06.07.2026";"67";"57,42";"69,33";"97,14"
"05.07.2026";"73";"57,84";"69,75";"97,33"
"04.07.2026";"83";"58,32";"70,17";"97,52"
"03.07.2026";"93";"58,79";"70,62";"97,75"
"02.07.2026";"98";"59,27";"71,1";"97,98"
"01.07.2026";"59";"59,77";"71,6";"98,23"
"30.06.2026";"52";"60,28";"72,1";"98,49"
"29.06.2026";"55";"60,76";"72,59";"98,74"
"28.06.2026";"51";"61,25";"73,1";"99,03"
"27.06.2026";"62";"61,76";"73,6";"99,32"
"26.06.2026";"62";"62,27";"74,1";"99,61"
"25.06.2026";"63";"62,78";"74,59";"99,91"
"24.06.2026";"69";"63,28";"75,07";"100,2"
"23.06.2026";"77";"63,73";"75,52";"100,49"
"22.06.2026";"71";"64,14";"75,99";"100,78"
"21.06.2026";"67";"64,55";"76,47";"101,1"
"20.06.2026";"69";"64,97";"76,94";"101,4"
"19.06.2026";"70";"65,42";"77,42";"101,72"
"18.06.2026";"77";"65,87";"77,91";"102,01"
"17.06.2026";"85";"66,35";"78,37";"102,3"
"16.06.2026";"81";"66,84";"78,86";"102,59"
"15.06.2026";"90";"67,32";"79,34";"102,88"
"14.06.2026";"93";"67,8";"79,79";"103,17"
"13.06.2026";"91";"68,3";"80,23";"103,46"
"12.06.2026";"92";"68,79";"80,66";"103,78"
"11.06.2026";"72";"69,28";"81,08";"104,1"
"10.06.2026";"75";"69,71";"81,5";"104,46"
"09.06.2026";"78";"70,09";"81,92";"104,81"
"08.06.2026";"84";"70,46";"82,31";"105,17"
"07.06.2026";"83";"70,92";"82,7";"105,52"
"06.06.2026";"86";"71,38";"83,08";"105,92"
"05.06.2026";"82";"71,78";"83,45";"106,34"
"04.06.2026";"81";"72,12";"83,84";"106,77"
"03.06.2026";"78";"72,41";"84,23";"107,23"
"02.06.2026";"85";"72,7";"84,59";"107,71"
"01.06.2026";"64";"73";"84,91";"108,23"
