Daten basieren auf Rohdaten. Quelle: An NIWIS-beteiligte Behörden/Institutionen. Es gelten die Nutzungsbedingungen.
Datenquellen und Lizenzen: https://niwis-online.de/redaktion/seitenlink/DATENQUELLEN_UND_LIZENZEN
Dargestellte Größen: Wasserstand, Wasserstand Klassifikation mit variablen Grenzwerten, Zeitraum: 01.06.2026 - 01.09.2026, Referenzzeitraum: 01.01.1991 - 31.12.2020 (Kalenderjahr), Exportdatum: 01.09.2026 20:50
Messstelle: Kaub (Rhein)

"Datum";"Wasserstand [cm]";"extrem niedrig [cm]";"sehr niedrig [cm]";"niedrig [cm]"
"01.09.2026";"";"64,7";"78,75";"134,61"
"31.08.2026";"73";"65,28";"79,07";"135,36"
"30.08.2026";"72";"65,74";"79,38";"136,1"
"29.08.2026";"71";"66,13";"79,68";"136,85"
"28.08.2026";"61";"66,4";"80,07";"137,59"
"27.08.2026";"60";"66,62";"80,47";"138,3"
"26.08.2026";"65";"66,85";"80,89";"138,98"
"25.08.2026";"72";"67,07";"81,34";"139,66"
"24.08.2026";"69";"67,29";"81,84";"140,31"
"23.08.2026";"45";"67,54";"82,39";"140,92"
"22.08.2026";"37";"67,8";"82,97";"141,57"
"21.08.2026";"44";"68,06";"83,58";"142,22"
"20.08.2026";"36";"68,27";"84,27";"142,87"
"19.08.2026";"14";"68,48";"85,06";"143,52"
"18.08.2026";"12";"68,7";"85,82";"144,19"
"17.08.2026";"7";"68,92";"86,62";"144,81"
"16.08.2026";"7";"69,11";"87,45";"145,4"
"15.08.2026";"8";"69,35";"88,27";"145,98"
"14.08.2026";"8";"69,63";"89,14";"146,56"
"13.08.2026";"12";"69,94";"90,04";"147,17"
"12.08.2026";"11";"70,26";"91,01";"147,85"
"11.08.2026";"14";"70,6";"91,98";"148,49"
"10.08.2026";"16";"70,96";"92,96";"149,15"
"09.08.2026";"21";"71,43";"93,98";"149,82"
"08.08.2026";"26";"71,99";"95,04";"150,53"
"07.08.2026";"24";"72,67";"96,13";"151,28"
"06.08.2026";"21";"73,4";"97,22";"152,03"
"05.08.2026";"20";"74,29";"98,37";"152,81"
"04.08.2026";"25";"75,23";"99,55";"153,58"
"03.08.2026";"27";"76,22";"100,76";"154,35"
"02.08.2026";"28";"77,26";"102,04";"155,16"
"01.08.2026";"30";"78,33";"103,31";"156"
"31.07.2026";"27";"79,39";"104,63";"156,83"
"30.07.2026";"28";"80,48";"106,04";"157,64"
"29.07.2026";"29";"81,61";"107,44";"158,44"
"28.07.2026";"29";"82,78";"108,8";"159,22"
"27.07.2026";"33";"83,98";"110,19";"160,02"
"26.07.2026";"38";"85,16";"111,57";"160,85"
"25.07.2026";"41";"86,32";"112,96";"161,69"
"24.07.2026";"47";"87,48";"114,35";"162,54"
"23.07.2026";"59";"88,6";"115,73";"163,44"
"22.07.2026";"70";"89,72";"117,09";"164,34"
"21.07.2026";"81";"90,82";"118,51";"165,24"
"20.07.2026";"84";"91,93";"119,87";"166,14"
"19.07.2026";"78";"93,07";"121,17";"167,04"
"18.07.2026";"66";"94,32";"122,5";"167,98"
"17.07.2026";"54";"95,65";"123,82";"168,94"
"16.07.2026";"45";"97,04";"125,16";"169,94"
"15.07.2026";"42";"98,44";"126,51";"170,94"
"14.07.2026";"46";"99,8";"127,82";"171,91"
"13.07.2026";"54";"101,19";"129,11";"172,9"
"12.07.2026";"58";"102,64";"130,34";"173,81"
"11.07.2026";"62";"104,09";"131,53";"174,73"
"10.07.2026";"71";"105,51";"132,64";"175,64"
"09.07.2026";"78";"106,8";"133,71";"176,54"
"08.07.2026";"86";"108";"134,71";"177,38"
"07.07.2026";"99";"109,08";"135,68";"178,18"
"06.07.2026";"108";"110,02";"136,56";"178,98"
"05.07.2026";"117";"110,78";"137,37";"179,78"
"04.07.2026";"121";"111,46";"138,12";"180,59"
"03.07.2026";"110";"112,08";"138,83";"181,36"
"02.07.2026";"102";"112,62";"139,46";"182,1"
"01.07.2026";"92";"113,06";"140,04";"182,82"
"30.06.2026";"87";"113,48";"140,58";"183,56"
"29.06.2026";"80";"113,83";"141,03";"184,34"
"28.06.2026";"80";"114,09";"141,41";"185,12"
"27.06.2026";"81";"114,29";"141,8";"185,93"
"26.06.2026";"84";"114,38";"142,14";"186,7"
"25.06.2026";"87";"114,43";"142,48";"187,44"
"24.06.2026";"97";"114,37";"142,77";"188,15"
"23.06.2026";"104";"114,25";"143,03";"188,85"
"22.06.2026";"106";"114,03";"143,25";"189,5"
"21.06.2026";"104";"113,79";"143,43";"190,11"
"20.06.2026";"106";"113,54";"143,51";"190,7"
"19.06.2026";"109";"113,28";"143,57";"191,25"
"18.06.2026";"108";"112,98";"143,57";"191,77"
"17.06.2026";"115";"112,54";"143,54";"192,22"
"16.06.2026";"120";"112,02";"143,46";"192,64"
"15.06.2026";"128";"111,41";"143,34";"193,02"
"14.06.2026";"140";"110,73";"143,2";"193,37"
"13.06.2026";"137";"109,93";"143,05";"193,69"
"12.06.2026";"128";"109,01";"142,89";"193,94"
"11.06.2026";"124";"107,89";"142,66";"194,23"
"10.06.2026";"125";"106,71";"142,42";"194,49"
"09.06.2026";"135";"105,5";"142,18";"194,72"
"08.06.2026";"145";"104,25";"141,94";"194,85"
"07.06.2026";"154";"102,95";"141,72";"194,98"
"06.06.2026";"155";"101,65";"141,52";"195,1"
"05.06.2026";"149";"100,43";"141,38";"195,18"
"04.06.2026";"132";"99,25";"141,25";"195,18"
"03.06.2026";"117";"98,09";"141,15";"195,15"
"02.06.2026";"111";"96,94";"141,07";"195,11"
"01.06.2026";"108";"95,82";"140,99";"195,06"
