station_name,river,lag_days,corr_temp_vs_level,corr_7d_precip_vs_level
Blois,Loire,0,-0.552,0.211
Blois,Loire,1,-0.563,0.278
Blois,Loire,2,-0.567,0.313
Blois,Loire,3,-0.575,0.349
Blois,Loire,4,-0.574,0.372
Blois,Loire,5,-0.575,0.376
Blois,Loire,6,-0.577,0.362
Blois,Loire,7,-0.575,0.344
Blois,Loire,8,-0.566,0.322
Blois,Loire,9,-0.551,0.295
Blois,Loire,10,-0.539,0.272
Blois,Loire,11,-0.532,0.252
Blois,Loire,12,-0.523,0.232
Blois,Loire,13,-0.518,0.221
Blois,Loire,14,-0.52,0.213
Dresden,Elbe,0,-0.513,0.588
Dresden,Elbe,1,-0.559,0.658
Dresden,Elbe,2,-0.491,0.62
Dresden,Elbe,3,-0.356,0.514
Dresden,Elbe,4,-0.22,0.378
Dresden,Elbe,5,-0.161,0.267
Dresden,Elbe,6,-0.136,0.172
Dresden,Elbe,7,-0.08,0.069
Dresden,Elbe,8,-0.007,-0.007
Dresden,Elbe,9,-0.017,-0.074
Dresden,Elbe,10,-0.041,-0.137
Dresden,Elbe,11,-0.088,-0.171
Dresden,Elbe,12,-0.062,-0.166
Dresden,Elbe,13,0.043,-0.133
Dresden,Elbe,14,0.091,-0.105
Kaub,Rhine,0,-0.379,0.478
Kaub,Rhine,1,-0.416,0.53
Kaub,Rhine,2,-0.431,0.537
Kaub,Rhine,3,-0.421,0.507
Kaub,Rhine,4,-0.388,0.476
Kaub,Rhine,5,-0.341,0.454
Kaub,Rhine,6,-0.298,0.428
Kaub,Rhine,7,-0.269,0.416
Kaub,Rhine,8,-0.241,0.407
Kaub,Rhine,9,-0.214,0.404
Kaub,Rhine,10,-0.195,0.406
Kaub,Rhine,11,-0.197,0.397
Kaub,Rhine,12,-0.211,0.389
Kaub,Rhine,13,-0.223,0.4
Kaub,Rhine,14,-0.221,0.441
Ternay,Rhône,0,-0.441,0.333
Ternay,Rhône,1,-0.319,0.21
Ternay,Rhône,2,-0.178,0.139
Ternay,Rhône,3,-0.147,0.113
Ternay,Rhône,4,-0.15,0.2
Ternay,Rhône,5,-0.121,0.264
Ternay,Rhône,6,-0.05,0.236
Ternay,Rhône,7,-0.005,0.159
Ternay,Rhône,8,-0.006,0.178
Ternay,Rhône,9,-0.018,0.085
Ternay,Rhône,10,-0.055,0.115
Ternay,Rhône,11,-0.063,0.07
Ternay,Rhône,12,-0.049,0.165
Ternay,Rhône,13,-0.021,0.126
Ternay,Rhône,14,0.041,0.113
Tonneins,Garonne,0,-0.653,0.129
Tonneins,Garonne,1,-0.679,0.131
Tonneins,Garonne,2,-0.669,0.121
Tonneins,Garonne,3,-0.614,0.044
Tonneins,Garonne,4,-0.574,-0.01
Tonneins,Garonne,5,-0.55,-0.024
Tonneins,Garonne,6,-0.49,-0.026
Tonneins,Garonne,7,-0.474,-0.034
Tonneins,Garonne,8,-0.466,-0.077
Tonneins,Garonne,9,-0.429,-0.149
Tonneins,Garonne,10,-0.442,-0.204
Tonneins,Garonne,11,-0.425,-0.203
Tonneins,Garonne,12,-0.409,-0.226
Tonneins,Garonne,13,-0.388,-0.198
Tonneins,Garonne,14,-0.369,-0.114
